Time,Execution Time,,Processor,RAM Size
Thu Nov 26 13:05:57 2020,0.31735706329345703,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:05:58 2020,0.2793080806732178,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:00 2020,0.40850186347961426,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:01 2020,0.3085060119628906,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:02 2020,0.30476975440979004,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:04 2020,0.2827920913696289,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:05 2020,0.29574131965637207,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:07 2020,0.4083681106567383,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:08 2020,0.41701817512512207,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:10 2020,0.31050896644592285,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:11 2020,0.3012259006500244,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:12 2020,0.30601072311401367,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:14 2020,0.2785348892211914,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:15 2020,0.30584120750427246,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:17 2020,0.3057231903076172,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:18 2020,0.36853504180908203,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:19 2020,0.2782440185546875,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:21 2020,0.3850061893463135,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:22 2020,0.4050741195678711,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:24 2020,0.30597925186157227,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:25 2020,0.3063468933105469,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:27 2020,0.3134579658508301,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:28 2020,0.3059818744659424,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:30 2020,0.40766096115112305,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:31 2020,0.41164708137512207,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:33 2020,0.40786004066467285,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:34 2020,0.2824277877807617,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:36 2020,0.2808399200439453,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:06:37 2020,0.2852621078491211,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
