Time,Execution Time,,Processor,RAM Size
Thu Nov 26 16:29:03 2020,3.167850971221924,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:05 2020,0.9124667644500732,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:07 2020,1.0139210224151611,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:09 2020,0.9442000389099121,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:11 2020,0.9166438579559326,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:13 2020,1.039025068283081,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:15 2020,1.0262231826782227,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:19 2020,1.0376954078674316,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:21 2020,1.0425119400024414,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:23 2020,1.032224178314209,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:25 2020,0.9477438926696777,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:27 2020,1.0175800323486328,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:29 2020,1.0154929161071777,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:31 2020,1.00150466,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:33 2020,0.9330308437347412,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:35 2020,0.9713821411132812,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:37 2020,1.0452730655670166,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:39 2020,1.0250649452209473,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:41 2020,1.031693935394287,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:43 2020,0.9215800762176514,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:45 2020,1.0329232215881348,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:47 2020,0.9319689273834229,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:49 2020,0.8795270919799805,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:51 2020,0.9662911891937256,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:53 2020,1.0067341327667236,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:55 2020,1.011491060256958,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:57 2020,1.0339851379394531,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:29:59 2020,0.8791868686676025,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:01 2020,0.9796841144561768,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:03 2020,1.0325722694396973,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:05 2020,1.0390701293945312,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:07 2020,1.0259740352630615,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:09 2020,1.0549330711364746,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:11 2020,0.9048891067504883,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:13 2020,1.0336582660675049,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:15 2020,0.9301168918609619,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:17 2020,1.0547640323638916,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:19 2020,1.076857089996338,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:21 2020,1.0390098094940186,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:23 2020,0.933187723,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:25 2020,1.0316200256347656,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:27 2020,1.034409999847412,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:29 2020,0.9236750602722168,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:31 2020,0.9409101009368896,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:33 2020,0.9319169521331787,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:35 2020,0.9629268646240234,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:37 2020,0.9264371395111084,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:39 2020,0.9171590805053711,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:41 2020,1.035822868347168,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:43 2020,0.8834700584411621,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:45 2020,1.0660011768341064,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:47 2020,1.031393051147461,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:49 2020,1.0330259799957275,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:51 2020,0.9276890754699707,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:53 2020,0.9310789108276367,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:55 2020,1.023409128189087,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:57 2020,1.032449722290039,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:59 2020,1.031480073928833,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:01 2020,0.935809851,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:03 2020,1.0314249992370605,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:05 2020,0.9216368198394775,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:07 2020,1.033916711807251,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:09 2020,1.026643991470337,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:11 2020,1.0319607257843018,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:13 2020,1.0326850414276123,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
